pathogen	tidy_name	taxids	predictor_type	study	location	count	mean	std	min	5%	25%	50%	75%	95%	max
aav2	AAV2	10804	prevalence	brinch	Amager	4000.0	1.7802149873138275e-10	7.331092249553492e-11	2.34456757481751e-11	7.521021776441515e-11	1.2363669872796892e-10	1.679532093198427e-10	2.2217217146085785e-10	3.1210143648251034e-10	5.733966116847437e-10
aav2	AAV2	10804	prevalence	brinch	Avedoere	4000.0	6.637264502247286e-11	4.1044373844607e-11	3.2591537826230712e-12	1.6966903377973634e-11	3.63427953937862e-11	5.748977640583226e-11	8.587821755438119e-11	1.4573267165847663e-10	3.8467963186283583e-10
aav2	AAV2	10804	prevalence	brinch	Overall	4000.0	1.230436537211954e-10	2.1547521627054854e-10	1.461313321220024e-14	2.1140553485793723e-11	4.7682305020802536e-11	7.907775006549538e-11	1.3105279594183306e-10	3.253958571668477e-10	5.404093705093378e-09
aav2	AAV2	10804	prevalence	brinch	Valby	4000.0	5.132702950885496e-11	2.4285146998938554e-11	7.245817636743857e-12	1.856854963297587e-11	3.405626197243358e-11	4.740080389570113e-11	6.442150292595582e-11	9.812727320318187e-11	1.8300185793701895e-10
aav2	AAV2	10804	prevalence	crits_christoph	Berkeley	4000.0	1.3709270672779888e-10	1.1050829343725293e-09	2.2875874134665872e-23	5.734066408654441e-14	2.198547312901936e-12	1.3242798049626491e-11	6.784027501200022e-11	3.9429354983951423e-10	5.1620413724125784e-08
aav2	AAV2	10804	prevalence	crits_christoph	Marin	4000.0	7.743693781892568e-11	4.664263996688074e-10	3.9186629260892184e-28	2.8311912322792026e-14	1.8110510487241456e-12	1.3166644767774588e-11	5.611208267292778e-11	2.7681697522170343e-10	1.7866605147333163e-08
aav2	AAV2	10804	prevalence	crits_christoph	Oakland	4000.0	4.777296012666353e-11	1.5029320991764244e-10	2.0656292851599626e-20	2.726123033062574e-14	1.7703014476796641e-12	1.0988226009559121e-11	4.4682961951602184e-11	1.9662563726462206e-10	6.0609384449029584e-09
aav2	AAV2	10804	prevalence	crits_christoph	Overall	4000.0	7.969191699058254e-11	4.4309163461962194e-10	1.8831951926112187e-16	3.541779646086357e-13	4.401518014212331e-12	2.0082276381384377e-11	7.025574807442435e-11	2.8399841469117576e-10	2.1725410101742325e-08
aav2	AAV2	10804	prevalence	crits_christoph	SF	4000.0	8.052924332124198e-10	2.8640339644460795e-08	2.5607900648952573e-15	1.4886237598280044e-12	1.718495730604872e-11	7.154446150405322e-11	2.262059625378122e-10	1.177320427666077e-09	1.8058485702324495e-06
aav2	AAV2	10804	prevalence	rothman	ESC	4000.0	1.251302200970469e-11	4.8131466946572856e-11	8.962151763117837e-21	8.355243308898584e-15	2.692950831912393e-13	1.923484656296642e-12	8.555565533655792e-12	5.090132307785155e-11	1.7521756034264012e-09
aav2	AAV2	10804	prevalence	rothman	HTP	4000.0	6.404218121671941e-12	1.438187580143415e-11	2.7684465462274693e-19	8.414356156714876e-15	2.073236251782872e-13	1.472648184869591e-12	6.049270245661317e-12	2.977839475662849e-11	2.5538715759486344e-10
aav2	AAV2	10804	prevalence	rothman	JWPCP	4000.0	9.255327155720233e-12	2.7139047614513545e-11	1.1100593718195474e-19	6.889575943000418e-15	2.3504366383158047e-13	1.7211804303911626e-12	7.25597028178773e-12	3.9380624779649557e-11	4.990945510637613e-10
