pathogen	tidy_name	taxids	predictor_type	study	location	count	mean	std	min	5%	25%	50%	75%	95%	max
aav2	AAV2	10804	prevalence	crits_christoph	Berkeley	4000.0	4.033877188055776e-09	4.9783299880649014e-08	4.385721395847714e-19	2.0049888388441984e-12	5.202914062174662e-11	3.629638369439472e-10	1.920602950506894e-09	1.3593062886440634e-08	2.9984312394915225e-06
aav2	AAV2	10804	prevalence	crits_christoph	Marin	4000.0	6.0556788299982475e-09	4.3241831643940016e-08	2.6214883686411707e-17	2.3650531178589737e-12	6.292681599821473e-11	3.989509868701153e-10	2.1951955074794964e-09	1.8202477957489064e-08	1.453072531270771e-06
aav2	AAV2	10804	prevalence	crits_christoph	Oakland	4000.0	1.556878550188028e-09	3.845397744535482e-09	3.7250507248033894e-16	1.6291453929592779e-12	5.4618030032514894e-11	2.7529971134643427e-10	1.3392640346722287e-09	7.210695750225531e-09	7.825117870583588e-08
aav2	AAV2	10804	prevalence	crits_christoph	Overall	4000.0	7.50127633409312e-09	9.490369938810526e-08	2.1243230777669618e-14	7.755662803372174e-12	1.1035621215212984e-10	4.939758834019286e-10	2.123337136552434e-09	1.5265690430930367e-08	4.019051550162544e-06
aav2	AAV2	10804	prevalence	rothman	ESC	4000.0	8.93911981859233e-12	7.656744029084924e-12	4.790876037715892e-14	1.2518026834334657e-12	3.5570545099072535e-12	6.820485755321478e-12	1.2020601511197049e-11	2.4220516190205945e-11	7.453797466275372e-11
aav2	AAV2	10804	prevalence	rothman	HTP	4000.0	5.295499540222312e-11	2.8450089432865646e-11	2.439006846406376e-12	1.5387029647749565e-11	3.1871891329996657e-11	4.862150056070625e-11	6.819388822515884e-11	1.0663338148974946e-10	1.934600529641749e-10
aav2	AAV2	10804	prevalence	rothman	JWPCP	4000.0	1.6336459120989905e-11	2.9015192801509534e-11	6.438331797686573e-16	2.061016971219647e-13	2.1698812914020238e-12	7.343742662080139e-12	1.8223518756484556e-11	6.056676545494442e-11	5.015132711597662e-10
aav2	AAV2	10804	prevalence	rothman	NC	4000.0	2.5228450538574376e-11	6.366889615345862e-11	9.13079635576349e-17	2.7096285900142604e-13	2.5912360157831007e-12	8.731750019783896e-12	2.4086860581059653e-11	9.521750843211996e-11	1.7297660700547775e-09
aav2	AAV2	10804	prevalence	rothman	OC	4000.0	1.8889750141008303e-11	4.925150903104389e-11	1.433247374878489e-18	2.225962000739062e-13	2.427324107709255e-12	7.536939220299168e-12	1.9712931259686963e-11	6.708521098184428e-11	1.7043271778254378e-09
aav2	AAV2	10804	prevalence	rothman	Overall	4000.0	1.3494124613470767e-11	1.607480462661731e-11	1.7747420896370108e-14	1.3514005652622028e-12	4.6637403447129255e-12	9.645317300703147e-12	1.7240433740462042e-11	3.636463681234271e-11	3.983629611982208e-10
aav2	AAV2	10804	prevalence	rothman	PL	4000.0	9.167247660788088e-12	7.12907336593406e-12	1.3266333741337166e-13	1.4954958190575028e-12	4.0967998098616206e-12	7.345462380899337e-12	1.2381478042484707e-11	2.3530883845947215e-11	6.724361220347255e-11
aav2	AAV2	10804	prevalence	rothman	SB	4000.0	2.2755621750590786e-11	8.047472149444987e-11	1.863878904599106e-17	2.2606165064131329e-13	2.535297337490547e-12	7.986480768619954e-12	2.170604096097308e-11	8.207866082290527e-11	4.0937709714795105e-09
aav2	AAV2	10804	prevalence	rothman	SJ	4000.0	1.6646099800857518e-11	3.408101812445665e-11	9.187044810809699e-18	1.9499874733775783e-13	2.2348862699861205e-12	7.403480067134354e-12	1.8044417539059837e-11	6.027734388540846e-11	8.977659711935378e-10
bkv	BKV	1891762	prevalence	crits_christoph	Berkeley	4000.0	2.0988141277038952e-09	9.082585008091116e-09	1.7865348130230367e-16	1.3708866167043683e-12	5.3253659812798704e-11	2.454186774936239e-10	1.1550652410665488e-09	8.071558542438314e-09	3.29460739761067e-07
bkv	BKV	1891762	prevalence	crits_christoph	Marin	4000.0	3.5399834474028265e-09	2.3024761416282388e-08	1.1827937659430594e-16	1.575915089445282e-12	6.394232718533174e-11	2.7701856271826194e-10	1.276464224768155e-09	1.2196676003995563e-08	8.427296377310144e-07
bkv	BKV	1891762	prevalence	crits_christoph	Oakland	4000.0	1.0658817391831934e-09	2.8595581013546127e-09	2.0084778098349054e-19	1.3930554652554967e-12	4.765886893491759e-11	2.1809314566651636e-10	8.345667821511725e-10	4.85645673981187e-09	6.14123699519742e-08
bkv	BKV	1891762	prevalence	crits_christoph	Overall	4000.0	6.16852331557102e-09	2.2750443106905116e-07	1.369286604224215e-14	4.988181842614653e-12	9.811932817861239e-11	3.144016281397037e-10	1.3285475072456896e-09	9.17137542519885e-09	1.433316969055986e-05
bkv	BKV	1891762	prevalence	rothman	ESC	4000.0	1.7963626521694553e-10	5.32912937938923e-11	5.197040687125344e-11	1.0283749500556744e-10	1.4260315358060175e-10	1.736742142212037e-10	2.1064717088042473e-10	2.751130865046495e-10	4.5754123861781966e-10
bkv	BKV	1891762	prevalence	rothman	HTP	4000.0	2.2434037061519955e-10	4.9986459977265825e-11	8.316263274843406e-11	1.475446815598398e-10	1.892333004039058e-10	2.2123103480712956e-10	2.559263549146214e-10	3.1222871474724026e-10	4.4476171490179775e-10
bkv	BKV	1891762	prevalence	rothman	JWPCP	4000.0	9.809215224623272e-11	9.001916735871952e-11	2.916767537448427e-17	6.416117621404053e-12	3.5487983870125494e-11	7.5682141308113e-11	1.326674525428292e-10	2.7204669613608213e-10	9.743765693572903e-10
bkv	BKV	1891762	prevalence	rothman	NC	4000.0	1.4026948775905975e-10	1.6640301783448637e-10	2.6139136649186586e-15	6.883067124800334e-12	4.4579466429032274e-11	9.69321507958045e-11	1.733530564760925e-10	4.1324204458615257e-10	2.4314154218866965e-09
bkv	BKV	1891762	prevalence	rothman	OC	4000.0	2.7869953351551787e-10	2.2704814053528793e-10	6.212381423185271e-12	6.317311344749126e-11	1.3030184645776534e-10	2.1144475711478544e-10	3.5113587457426163e-10	7.15826716086808e-10	2.1884262441749512e-09
bkv	BKV	1891762	prevalence	rothman	Overall	4000.0	1.401154907180434e-10	9.097104347534885e-11	1.711369840950016e-13	3.9554400495996975e-11	8.820428505867553e-11	1.2549530316773896e-10	1.7224983417253333e-10	2.849203754325954e-10	2.1212977933232184e-09
bkv	BKV	1891762	prevalence	rothman	PL	4000.0	6.127285528312846e-11	2.2152091519904216e-11	1.3099975392059623e-11	3.09822787754532e-11	4.547624335876172e-11	5.825424633774665e-11	7.387824270429803e-11	1.022396527211922e-10	1.815946616674144e-10
