	pathogen	study	tidy_name	viral_reads
0	aav2	brinch	AAV2	43
1	aav2	crits_christoph	AAV2	1
2	aav2	rothman	AAV2	1
3	aav2	spurbeck	AAV2	240
4	bkv	brinch	BKV	314
5	bkv	crits_christoph	BKV	63
6	bkv	rothman	BKV	0
7	bkv	spurbeck	BKV	37
8	cmv	brinch	CMV	1
9	cmv	crits_christoph	CMV	2
10	cmv	rothman	CMV	1
11	cmv	spurbeck	CMV	2
12	ebv	brinch	EBV	38
13	ebv	crits_christoph	EBV	0
14	ebv	rothman	EBV	4
15	ebv	spurbeck	EBV	2
16	hcv	brinch	HCV	0
17	hcv	crits_christoph	HCV	0
18	hcv	rothman	HCV	0
19	hcv	spurbeck	HCV	0
20	hiv	brinch	HIV	1
21	hiv	crits_christoph	HIV	1
22	hiv	rothman	HIV	1
23	hiv	spurbeck	HIV	0
24	hpv	brinch	HPV	0
25	hpv	crits_christoph	HPV	0
26	hpv	rothman	HPV	0
27	hpv	spurbeck	HPV	0
28	hsv_1	brinch	HSV-1	6
29	hsv_1	crits_christoph	HSV-1	0
30	hsv_1	rothman	HSV-1	42
31	hsv_1	spurbeck	HSV-1	0
32	influenza	crits_christoph	Influenza A	0
33	influenza	crits_christoph	Influenza B	0
34	influenza	rothman	Influenza A	0
35	influenza	rothman	Influenza B	0
36	influenza	spurbeck	Influenza A	0
37	influenza	spurbeck	Influenza B	0
38	jcv	brinch	JCV	576
39	jcv	crits_christoph	JCV	41
40	jcv	rothman	JCV	6
41	jcv	spurbeck	JCV	26
42	mcv	brinch	MCV	163
43	mcv	crits_christoph	MCV	297
44	mcv	rothman	MCV	2
45	mcv	spurbeck	MCV	2
46	norovirus	crits_christoph	Norovirus (GI)	0
47	norovirus	crits_christoph	Norovirus (GII)	2
48	norovirus	rothman	Norovirus (GI)	114
49	norovirus	rothman	Norovirus (GII)	338
50	norovirus	spurbeck	Norovirus (GI)	61
51	norovirus	spurbeck	Norovirus (GII)	23
52	sars_cov_2	crits_christoph	SARS-COV-2	54
53	sars_cov_2	rothman	SARS-COV-2	384
54	sars_cov_2	spurbeck	SARS-COV-2	16
