study,sample,Human-Infecting Viruses,DNA Viruses,RNA Viruses,Viruses
Brinch 2020,ERR1467141,4.588477781672886e-07,0.0016174384180396922,4.588477781672886e-07,0.0016192738091523613
Brinch 2020,ERR1467142,2.9821036504676313e-06,0.0035434846626681625,7.455259126169078e-07,0.003547212292231247
Brinch 2020,ERR1467143,3.6387334442176703e-06,0.002376820685762982,3.6387334442176703e-07,0.002377548432451826
Brinch 2020,ERR1467144,2.6634829167535072e-06,0.002592234748730351,6.658707291883768e-07,0.0025948982316471047
Brinch 2020,ERR1467145,6.021862371339147e-06,0.003229725518494895,0.0,0.003231732805952009
Brinch 2020,ERR1467146,3.0579520130880348e-06,0.0024792345946111237,0.0,0.002483821522630756
Brinch 2020,ERR1467147,4.776606785387057e-06,0.003923765355705222,0.0,0.003925068066646692
Brinch 2020,ERR1467148,6.838299700295974e-06,0.003703871783123947,1.8649908273534474e-06,0.0037082234283877715
Brinch 2020,ERR1467149,3.6514222492517628e-06,0.003315897115903851,8.114271665003918e-07,0.003317925683820102
Brinch 2020,ERR1467150,4.684332847278035e-06,0.0026647161996944477,0.0,0.00266672377091471
Brinch 2020,ERR1467151,2.723580418818579e-06,0.003189312670436556,0.0,0.0031913553557506697
Brinch 2020,ERR1467152,3.4282109766744526e-06,0.00491262632957449,0.0,0.0049143404350628275
Brinch 2020,ERR1467153,8.680111001259484e-07,0.003091855538648628,0.0,0.00309359156084888
Brinch 2020,ERR1467154,2.265939753193842e-06,0.005976416099048758,2.265939753193842e-06,0.005978682038801952
Brinch 2020,ERR1470822,1.984825020307241e-06,0.0017903121683171316,0.0,0.0017908083745722082
Brinch 2020,ERR1470823,5.691125543383924e-06,0.0017528666673622486,4.742604619486604e-07,0.0017561864905958893
Brinch 2020,ERR1470824,1.0674431960103244e-05,0.0028148477078792254,0.0,0.0028159151510752357
Brinch 2020,ERR1470825,1.0222278331172173e-05,0.0021267450068003704,0.0,0.0021308339181328397
Brinch 2020,ERR1470826,4.962045315382638e-06,0.0029434852810849813,0.0,0.0029459663037426725
Brinch 2020,ERR1470827,3.19775673811758e-06,0.0009149137334058631,0.0,0.0009163349586228044
Brinch 2020,ERR1470828,6.146288368205139e-06,0.001864001636030213,5.587534880186489e-07,0.0018662366499822875
Brinch 2020,ERR1470829,8.803414718806358e-06,0.002146146745377579,6.288153370575969e-07,0.0021467755607146363
Brinch 2020,ERR1470830,3.9971588195110915e-06,0.001453366946774233,3.997158819511091e-07,0.0014553655261839884
Brinch 2020,ERR1512984,3.918870424788759e-06,0.0014942093091087428,1.6795158963380394e-06,0.0014992478567977567
Brinch 2020,ERR1512985,7.595747316364045e-06,0.004199863977694212,0.0,0.004201616842459527
Brinch 2020,ERR1512986,5.913155103671048e-06,0.004622474612406122,5.375595548791862e-07,0.004626237529290277
Brinch 2020,ERR1512987,5.269117544001084e-07,0.004031928744669629,0.0,0.004032982568178429
Brinch 2020,ERR1512988,1.7376134227161677e-06,0.0016290125837964073,4.3440335567904193e-07,0.0016311846005748025
Brinch 2020,ERR1512990,1.8896661715741296e-06,0.003316994019836456,0.0,0.003319513574731888
Brinch 2020,ERR1512991,3.7543090081641205e-06,0.005486547184531045,0.0,0.00549030149353921
Brinch 2020,ERR1512992,6.119892779478504e-06,0.0029361885579764642,0.0,0.0029382285222362904
Brinch 2020,ERR1512993,7.009998887162677e-06,0.0036745537916645856,0.0,0.0036763062913863762
Brinch 2020,ERR1512994,3.888288364352617e-06,0.004424872158633277,0.0,0.004425427628399614
Brinch 2020,ERR1512995,1.5467425601682855e-06,0.0023242384870795435,0.0,0.002324238487079544
Brinch 2020,ERR1512996,6.443561915112515e-06,0.0047048741250179885,5.369634929260429e-07,0.00470594805200384
Brinch 2020,ERR1512997,1.0118866924995387e-05,0.004017190169223169,0.0,0.004018380624155521
Brinch 2020,ERR1512998,7.840365674655066e-06,0.0020418552321280264,5.60026119618219e-07,0.0020440953366064993
Brinch 2020,ERR1513002,5.745610022465335e-06,0.005227621180439999,8.839400034562055e-07,0.005229831030448639
Brinch 2020,ERR1513003,1.3213798376817008e-06,0.002714114186598213,4.4045994589390026e-07,0.002715435566435895
Brinch 2020,ERR1513004,5.349507650768578e-06,0.005935035579089067,9.72637754685196e-07,0.005938439811230465
Brinch 2020,ERR1513005,8.949168721660966e-06,0.0047709012807254795,9.943520801845517e-07,0.004774381513006125
Brinch 2020,ERR1513006,5.292416602099184e-06,0.004419167862752819,5.292416602099185e-07,0.004421284829393658
Brinch 2020,ERR1513007,9.791739492729144e-07,0.002784281124757532,4.895869746364572e-07,0.0027862394726560777
Brinch 2020,ERR1514427,1.2900524058981196e-05,0.015295059793929013,1.4885220068055226e-06,0.015299029185947161
Brinch 2020,ERR1514428,1.0018697394011575e-05,0.015163715951561269,0.0,0.01516538573446027
Brinch 2020,ERR1514429,6.566433704190917e-06,0.005063814791548563,0.0,0.005066003602783292
Brinch 2020,ERR1514430,1.3093315404220106e-06,0.0006189864857345054,0.0,0.0006189864857345055
Brinch 2020,ERR3562836,8.695791642648568e-07,0.0009674068202446532,4.830995357026982e-07,0.0009697740079695964
Brinch 2020,ERR3562837,2.7723872480151113e-06,0.0024583842575333996,4.419747786690757e-07,0.0024603530542747437
Brinch 2020,ERR3562838,3.5050741790532095e-06,0.0034831674654341267,2.920895149211008e-07,0.0034855041815534957
Brinch 2020,ERR3562839,1.5397632306080293e-06,0.0030674649825762957,2.5662720510133824e-07,0.0030700312546273092
Brinch 2020,ERR3562840,3.4626638272823284e-06,0.004485880988244257,0.0,0.004485880988244257
Brinch 2020,ERR3562841,0.0,0.0022390412094072227,0.0,0.0022439157548558596
Brinch 2020,ERR3562842,2.2198553631039615e-06,0.002548837927915969,0.0,0.0025497258700612102
Brinch 2020,ERR3562843,6.908865227867847e-07,0.0023381672590673157,7.599751750654632e-07,0.0023403780959402334
Brinch 2020,ERR3562844,3.371416858163144e-06,0.0059665986989028055,4.045700229795773e-07,0.005969295832389337
Brinch 2020,ERR3562845,4.395975826040491e-06,0.005057716720387119,3.9075340675915476e-07,0.0050587912922557075
Brinch 2020,ERR3562846,4.851398687944176e-06,0.0051451558289060196,4.950406824432832e-07,0.005146739959089838
Brinch 2020,ERR3562847,7.693695588800869e-06,0.008442705002037422,6.567788917269034e-07,0.008444581513156642
Brinch 2020,ERR3562848,8.405924595527299e-06,0.008028323804538117,4.16134880966698e-07,0.008030987067776304
