Virus	Study	Median	5th Percentile	95th Percentile	Fold change (median)
Influenza A	Rothman Unenriched	2.20 x 10⁻⁷	4.82 x 10⁻⁹	2.95 x 10⁻⁶	2.68
Influenza A	Rothman Panel-enriched	8.21 x 10⁻⁸	2.96 x 10⁻⁹	1.53 x 10⁻⁶	3.73 x 10⁻¹
Influenza A	Crits-Christoph Unenriched	5.30 x 10⁻⁶	9.43 x 10⁻⁸	1.81 x 10⁻⁴	7.18 x 10⁻²
Influenza A	Crits-Christoph Panel-enriched	7.39 x 10⁻⁵	8.67 x 10⁻⁷	2.05 x 10⁻³	13.94
Influenza B	Rothman Unenriched	3.25 x 10⁻⁷	5.90 x 10⁻⁹	3.68 x 10⁻⁶	11.07
Influenza B	Rothman Panel-enriched	2.94 x 10⁻⁸	7.12 x 10⁻¹⁰	6.30 x 10⁻⁷	9.03 x 10⁻²
Influenza B	Crits-Christoph Unenriched	8.37 x 10⁻⁶	8.40 x 10⁻⁸	1.89 x 10⁻⁴	1.15 x 10⁻¹
Influenza B	Crits-Christoph Panel-enriched	7.28 x 10⁻⁵	8.48 x 10⁻⁷	2.44 x 10⁻³	8.7
Norovirus (GI)	Rothman Unenriched	1.88 x 10⁻⁴	5.75 x 10⁻⁵	4.54 x 10⁻⁴	72.08
Norovirus (GI)	Rothman Panel-enriched	2.61 x 10⁻⁶	1.08 x 10⁻⁶	8.41 x 10⁻⁶	1.39 x 10⁻²
Norovirus (GI)	Crits-Christoph Unenriched	9.21 x 10⁻⁷	8.01 x 10⁻⁹	2.50 x 10⁻⁵	7.09 x 10⁻³
Norovirus (GI)	Crits-Christoph Panel-enriched	1.30 x 10⁻⁴	1.94 x 10⁻⁶	3.87 x 10⁻³	141.03
Norovirus (GII)	Rothman Unenriched	4.17 x 10⁻⁵	1.59 x 10⁻⁵	9.54 x 10⁻⁵	14.67
Norovirus (GII)	Rothman Panel-enriched	2.84 x 10⁻⁶	7.60 x 10⁻⁷	1.08 x 10⁻⁵	6.82 x 10⁻²
Norovirus (GII)	Crits-Christoph Unenriched	1.21 x 10⁻⁶	7.06 x 10⁻⁸	8.29 x 10⁻⁶	3.48 x 10⁻²
Norovirus (GII)	Crits-Christoph Panel-enriched	3.49 x 10⁻⁵	9.28 x 10⁻⁷	5.22 x 10⁻⁴	28.74
SARS-COV-2	Rothman Unenriched	6.25 x 10⁻⁸	1.67 x 10⁻⁸	1.99 x 10⁻⁷	1.52 x 10⁻²
SARS-COV-2	Rothman Panel-enriched	4.11 x 10⁻⁶	1.12 x 10⁻⁶	1.71 x 10⁻⁵	65.86
SARS-COV-2	Crits-Christoph Unenriched	2.38 x 10⁻⁷	1.65 x 10⁻⁸	1.76 x 10⁻⁶	1.34 x 10⁻⁶
SARS-COV-2	Crits-Christoph Panel-enriched	1.78 x 10⁻¹	2.37 x 10⁻²	6.16 x 10⁻¹	748966.54
AAV2	Rothman Unenriched	2.08 x 10⁻¹²	4.10 x 10⁻¹⁴	2.75 x 10⁻¹¹	2.15 x 10⁻¹
AAV2	Rothman Panel-enriched	9.65 x 10⁻¹²	1.35 x 10⁻¹²	3.64 x 10⁻¹¹	4.64
AAV2	Crits-Christoph Unenriched	2.01 x 10⁻¹¹	3.54 x 10⁻¹³	2.84 x 10⁻¹⁰	4.07 x 10⁻²
AAV2	Crits-Christoph Panel-enriched	4.94 x 10⁻¹⁰	7.76 x 10⁻¹²	1.53 x 10⁻⁸	24.6
BKV	Rothman Unenriched	9.97 x 10⁻¹³	2.12 x 10⁻¹⁴	1.33 x 10⁻¹¹	7.88 x 10⁻³
BKV	Rothman Panel-enriched	1.26 x 10⁻¹⁰	4.43 x 10⁻¹¹	2.79 x 10⁻¹⁰	126.86
BKV	Crits-Christoph Unenriched	3.55 x 10⁻¹⁰	1.66 x 10⁻¹¹	5.04 x 10⁻⁹	1.13
BKV	Crits-Christoph Panel-enriched	3.14 x 10⁻¹⁰	4.99 x 10⁻¹²	9.17 x 10⁻⁹	8.85 x 10⁻¹
CMV	Rothman Unenriched	3.72 x 10⁻¹²	1.07 x 10⁻¹³	3.40 x 10⁻¹¹	2.08
CMV	Rothman Panel-enriched	1.79 x 10⁻¹²	1.80 x 10⁻¹³	9.66 x 10⁻¹²	4.82 x 10⁻¹
CMV	Crits-Christoph Unenriched	3.92 x 10⁻¹¹	1.05 x 10⁻¹²	5.11 x 10⁻¹⁰	5.94 x 10⁻²
CMV	Crits-Christoph Panel-enriched	6.60 x 10⁻¹⁰	4.45 x 10⁻¹²	1.69 x 10⁻⁸	16.84
EBV	Rothman Unenriched	1.49 x 10⁻¹¹	8.29 x 10⁻¹³	8.34 x 10⁻¹¹	3.09
EBV	Rothman Panel-enriched	4.82 x 10⁻¹²	1.91 x 10⁻¹³	4.10 x 10⁻¹¹	3.24 x 10⁻¹
EBV	Crits-Christoph Unenriched	3.57 x 10⁻¹²	5.57 x 10⁻¹⁴	8.24 x 10⁻¹¹	9.09 x 10⁻³
EBV	Crits-Christoph Panel-enriched	3.93 x 10⁻¹⁰	2.84 x 10⁻¹²	1.10 x 10⁻⁸	110.01
HCV	Rothman Unenriched	7.00 x 10⁻¹¹	1.38 x 10⁻¹²	1.12 x 10⁻⁹	5.02
HCV	Rothman Panel-enriched	1.39 x 10⁻¹¹	5.80 x 10⁻¹³	2.32 x 10⁻¹⁰	1.99 x 10⁻¹
HCV	Crits-Christoph Unenriched	2.71 x 10⁻¹⁰	1.95 x 10⁻¹²	7.33 x 10⁻⁹	9.36 x 10⁻³
HCV	Crits-Christoph Panel-enriched	2.89 x 10⁻⁸	3.71 x 10⁻¹⁰	8.92 x 10⁻⁷	106.8
HIV	Rothman Unenriched	7.58 x 10⁻¹⁰	1.27 x 10⁻¹¹	1.07 x 10⁻⁸	2.67 x 10⁻¹
HIV	Rothman Panel-enriched	2.84 x 10⁻⁹	4.05 x 10⁻¹⁰	9.76 x 10⁻⁹	3.74
HIV	Crits-Christoph Unenriched	8.92 x 10⁻⁹	2.05 x 10⁻¹⁰	1.01 x 10⁻⁷	8.05 x 10⁻²
HIV	Crits-Christoph Panel-enriched	1.11 x 10⁻⁷	1.82 x 10⁻⁹	5.03 x 10⁻⁶	12.43
HPV	Rothman Unenriched	2.48 x 10⁻¹²	2.78 x 10⁻¹⁴	3.80 x 10⁻¹¹	3.98
HPV	Rothman Panel-enriched	6.23 x 10⁻¹³	1.35 x 10⁻¹⁴	7.13 x 10⁻¹²	2.51 x 10⁻¹
HPV	Crits-Christoph Unenriched	8.10 x 10⁻¹²	7.09 x 10⁻¹⁴	1.64 x 10⁻¹⁰	1.09 x 10⁻²
HPV	Crits-Christoph Panel-enriched	7.42 x 10⁻¹⁰	9.15 x 10⁻¹²	2.56 x 10⁻⁸	91.65
HSV-1	Rothman Unenriched	4.85 x 10⁻¹⁰	1.81 x 10⁻¹⁰	9.37 x 10⁻¹⁰	6.68
HSV-1	Rothman Panel-enriched	7.26 x 10⁻¹¹	2.67 x 10⁻¹¹	1.79 x 10⁻¹⁰	1.50 x 10⁻¹
HSV-1	Crits-Christoph Unenriched	4.58 x 10⁻¹²	5.49 x 10⁻¹⁴	1.38 x 10⁻¹⁰	6.94 x 10⁻³
HSV-1	Crits-Christoph Panel-enriched	6.59 x 10⁻¹⁰	6.00 x 10⁻¹²	1.66 x 10⁻⁸	144.04
JCV	Rothman Unenriched	1.02 x 10⁻¹¹	3.49 x 10⁻¹³	9.80 x 10⁻¹¹	3.14 x 10⁻²
JCV	Rothman Panel-enriched	3.25 x 10⁻¹⁰	1.10 x 10⁻¹⁰	7.12 x 10⁻¹⁰	31.85
JCV	Crits-Christoph Unenriched	1.09 x 10⁻⁹	8.20 x 10⁻¹¹	1.22 x 10⁻⁸	4.10 x 10⁻¹
JCV	Crits-Christoph Panel-enriched	2.67 x 10⁻⁹	6.44 x 10⁻¹¹	3.25 x 10⁻⁸	2.44
MCV	Rothman Unenriched	7.49 x 10⁻¹²	2.29 x 10⁻¹³	5.47 x 10⁻¹¹	1.16 x 10⁻¹
MCV	Rothman Panel-enriched	6.44 x 10⁻¹¹	1.76 x 10⁻¹¹	1.56 x 10⁻¹⁰	8.6
MCV	Crits-Christoph Unenriched	2.55 x 10⁻⁸	8.69 x 10⁻⁹	6.83 x 10⁻⁸	46.46
MCV	Crits-Christoph Panel-enriched	5.48 x 10⁻¹⁰	8.44 x 10⁻¹²	1.61 x 10⁻⁸	2.15 x 10⁻²
