Virus	Enrichment	Cumulative incidence	Study	Processing cost (per sample)	Sequencing cost (per sample)	Total cost (per sample)	Total cost (per year)	Sequencing depth	Sequencer
SARS-COV-2	Panel-enriched	1.00%	Crits-Christoph	$540	$788	$1,330	$69,100	5.61e+02	MiSeq
SARS-COV-2	Panel-enriched	1.00%	Rothman	$540	$1,400	$1,940	$101,000	2.43e+07	NextSeq
SARS-COV-2	Panel-enriched	1.00%	Overall (geomean)	$540	$1,050	$1,600	$83,400	1.17e+05	N/A
SARS-COV-2	Panel-enriched	0.01%	Crits-Christoph	$540	$788	$1,330	$69,100	5.61e+04	MiSeq
SARS-COV-2	Panel-enriched	0.01%	Rothman	$540	$4,990	$5,530	$287,000	2.43e+09	NovaSeq (lane)
SARS-COV-2	Panel-enriched	0.01%	Overall (geomean)	$540	$1,980	$2,710	$141,000	1.17e+07	N/A
SARS-COV-2	Unenriched	1.00%	Crits-Christoph	$273	$2,490	$2,770	$144,000	4.20e+08	NovaSeq (lane)
SARS-COV-2	Unenriched	1.00%	Rothman	$216	$4,990	$5,200	$271,000	1.60e+09	NovaSeq (lane)
SARS-COV-2	Unenriched	1.00%	Spurbeck	$216	$227,000	$227,000	$11,800,000	2.65e+11	NovaSeq (cell)
SARS-COV-2	Unenriched	1.00%	Overall (geomean)	$233	$14,100	$14,800	$772,000	5.63e+09	N/A
SARS-COV-2	Unenriched	0.01%	Crits-Christoph	$273	$37,800	$38,100	$1,980,000	4.20e+10	NovaSeq (cell)
SARS-COV-2	Unenriched	0.01%	Rothman	$216	$132,000	$133,000	$6,890,000	1.60e+11	NovaSeq (cell)
SARS-COV-2	Unenriched	0.01%	Spurbeck	$216	$21,400,000	$21,400,000	$1,110,000,000	2.65e+13	NovaSeq (cell)
SARS-COV-2	Unenriched	0.01%	Overall (geomean)	$233	$475,000	$476,000	$24,800,000	5.63e+11	N/A
Norovirus (GII)	Unenriched	1.00%	Crits-Christoph	$273	$2,490	$2,770	$144,000	8.24e+07	NovaSeq (lane)
Norovirus (GII)	Unenriched	1.00%	Rothman	$216	$1,400	$1,610	$83,900	2.40e+06	NextSeq
Norovirus (GII)	Unenriched	1.00%	Spurbeck	$216	$4,990	$5,200	$271,000	2.26e+09	NovaSeq (lane)
Norovirus (GII)	Unenriched	1.00%	Overall (geomean)	$233	$2,590	$2,850	$148,000	7.64e+07	N/A
Norovirus (GII)	Unenriched	0.01%	Crits-Christoph	$273	$15,000	$15,200	$792,000	8.24e+09	NovaSeq (lane)
Norovirus (GII)	Unenriched	0.01%	Rothman	$216	$2,490	$2,710	$141,000	2.40e+08	NovaSeq (lane)
Norovirus (GII)	Unenriched	0.01%	Spurbeck	$216	$189,000	$189,000	$9,840,000	2.26e+11	NovaSeq (cell)
Norovirus (GII)	Unenriched	0.01%	Overall (geomean)	$233	$19,200	$19,800	$1,030,000	7.64e+09	N/A
