Pathogen	Enrichment	Study	P2RA at 0.01	P2RA at 0.1 (% Decrease)	P2RA at 1 (% Decrease)
Influenza A	enriched	Crits-Christoph et al. 2021	5.55 x 10⁻³	7.18 x 10⁻⁴ (87.1%)	7.39 x 10⁻⁵ (98.7%)
Influenza A	enriched	Rothman et al. 2021	1.14 x 10⁻⁷	1.53 x 10⁻⁷ (-34.5%)	8.21 x 10⁻⁸ (28.1%)
Influenza A	unenriched	Crits-Christoph et al. 2021	7.19 x 10⁻⁵	5.30 x 10⁻⁶ (92.6%)	7.19 x 10⁻⁷ (99.0%)
Influenza A	unenriched	Rothman et al. 2021	2.43 x 10⁻⁷	2.20 x 10⁻⁷ (9.4%)	1.21 x 10⁻⁷ (50.1%)
Influenza A	unenriched	Spurbeck et al. 2023	3.37 x 10⁻¹⁰	3.37 x 10⁻¹⁰ (0.0%)	3.37 x 10⁻¹⁰ (0.0%)
Influenza B	enriched	Crits-Christoph et al. 2021	7.96 x 10⁻³	7.16 x 10⁻⁴ (91.0%)	7.28 x 10⁻⁵ (99.1%)
Influenza B	enriched	Rothman et al. 2021	1.02 x 10⁻⁷	6.00 x 10⁻⁸ (41.0%)	2.94 x 10⁻⁸ (71.1%)
Influenza B	unenriched	Crits-Christoph et al. 2021	6.42 x 10⁻⁵	8.37 x 10⁻⁶ (87.0%)	6.42 x 10⁻⁷ (99.0%)
Influenza B	unenriched	Rothman et al. 2021	4.34 x 10⁻⁷	3.25 x 10⁻⁷ (25.1%)	1.53 x 10⁻⁷ (64.8%)
Influenza B	unenriched	Spurbeck et al. 2023	1.43 x 10⁻⁸	1.43 x 10⁻⁸ (0.0%)	1.43 x 10⁻⁸ (0.0%)
Norovirus (GI)	enriched	Crits-Christoph et al. 2021	1.30 x 10⁻⁴	1.30 x 10⁻⁴ (0.0%)	1.30 x 10⁻⁴ (0.0%)
Norovirus (GI)	enriched	Rothman et al. 2021	2.61 x 10⁻⁶	2.61 x 10⁻⁶ (0.0%)	2.61 x 10⁻⁶ (0.0%)
Norovirus (GI)	unenriched	Crits-Christoph et al. 2021	9.21 x 10⁻⁷	9.21 x 10⁻⁷ (0.0%)	9.21 x 10⁻⁷ (0.0%)
Norovirus (GI)	unenriched	Rothman et al. 2021	1.88 x 10⁻⁴	1.88 x 10⁻⁴ (0.0%)	1.88 x 10⁻⁴ (0.0%)
Norovirus (GI)	unenriched	Spurbeck et al. 2023	1.47 x 10⁻⁷	1.47 x 10⁻⁷ (0.0%)	1.47 x 10⁻⁷ (0.0%)
Norovirus (GII)	enriched	Crits-Christoph et al. 2021	3.49 x 10⁻⁵	3.49 x 10⁻⁵ (0.0%)	3.49 x 10⁻⁵ (0.0%)
Norovirus (GII)	enriched	Rothman et al. 2021	2.84 x 10⁻⁶	2.84 x 10⁻⁶ (0.0%)	2.84 x 10⁻⁶ (0.0%)
Norovirus (GII)	unenriched	Crits-Christoph et al. 2021	1.21 x 10⁻⁶	1.21 x 10⁻⁶ (0.0%)	1.21 x 10⁻⁶ (0.0%)
Norovirus (GII)	unenriched	Rothman et al. 2021	4.17 x 10⁻⁵	4.17 x 10⁻⁵ (0.0%)	4.17 x 10⁻⁵ (0.0%)
Norovirus (GII)	unenriched	Spurbeck et al. 2023	4.42 x 10⁻⁸	4.42 x 10⁻⁸ (0.0%)	4.42 x 10⁻⁸ (0.0%)
