Virus	Study	Median	5th Percentile	95th Percentile
Influenza A	Rothman	1.86 × 10⁻⁷	4.41 × 10⁻⁹	2.37 × 10⁻⁶
Influenza A	Crits-Christoph	6.23 × 10⁻⁶	8.08 × 10⁻⁸	1.73 × 10⁻⁴
Influenza A	Spurbeck	2.31 × 10⁻¹⁰	4.02 × 10⁻¹²	3.60 × 10⁻⁹
Influenza A	Mean (geometric)	6.45 × 10⁻⁸	1.13 × 10⁻⁹	1.14 × 10⁻⁶
Influenza B	Rothman	2.76 × 10⁻⁷	6.25 × 10⁻⁹	3.44 × 10⁻⁶
Influenza B	Crits-Christoph	7.64 × 10⁻⁶	8.58 × 10⁻⁸	1.85 × 10⁻⁴
Influenza B	Spurbeck	1.15 × 10⁻⁸	2.34 × 10⁻¹⁰	1.80 × 10⁻⁷
Influenza B	Mean (geometric)	2.89 × 10⁻⁷	5.00 × 10⁻⁹	4.85 × 10⁻⁶
Norovirus (GI)	Rothman	1.41 × 10⁻³	4.92 × 10⁻⁴	3.93 × 10⁻³
Norovirus (GI)	Crits-Christoph	4.73 × 10⁻⁵	3.12 × 10⁻⁶	3.13 × 10⁻⁴
Norovirus (GI)	Spurbeck	3.43 × 10⁻⁷	4.56 × 10⁻⁸	1.76 × 10⁻⁶
Norovirus (GI)	Mean (geometric)	2.84 × 10⁻⁵	4.12 × 10⁻⁶	1.29 × 10⁻⁴
Norovirus (GII)	Rothman	1.15 × 10⁻⁴	3.77 × 10⁻⁵	3.28 × 10⁻⁴
Norovirus (GII)	Crits-Christoph	1.25 × 10⁻⁵	2.13 × 10⁻⁶	4.78 × 10⁻⁵
Norovirus (GII)	Spurbeck	8.27 × 10⁻⁸	8.87 × 10⁻⁹	4.57 × 10⁻⁷
Norovirus (GII)	Mean (geometric)	4.91 × 10⁻⁶	8.93 × 10⁻⁷	1.93 × 10⁻⁵
SARS-COV-2	Rothman	6.05 × 10⁻⁸	1.53 × 10⁻⁸	1.92 × 10⁻⁷
SARS-COV-2	Crits-Christoph	2.33 × 10⁻⁷	1.47 × 10⁻⁸	1.60 × 10⁻⁶
SARS-COV-2	Spurbeck	3.78 × 10⁻¹⁰	2.75 × 10⁻¹¹	2.20 × 10⁻⁹
SARS-COV-2	Mean (geometric)	1.75 × 10⁻⁸	1.83 × 10⁻⁹	8.78 × 10⁻⁸
CMV	Rothman	3.46 × 10⁻¹²	8.79 × 10⁻¹⁴	3.66 × 10⁻¹¹
CMV	Crits-Christoph	3.84 × 10⁻¹¹	8.98 × 10⁻¹³	5.07 × 10⁻¹⁰
